Date,Station,count,Lat,Long
2021-06-03 06:00:00,North Strand Rd N/B,11,53.35853,-6.24134
2021-06-03 06:00:00,North Strand Rd S/B,76,53.35846619,-6.241417032
2021-06-03 07:00:00,Charleville Mall,29,53.35694847,-6.245350215
2021-06-03 07:00:00,Grove Road Totem,254,53.3296435,-6.2701778
2021-06-03 07:00:00,North Strand Rd N/B,32,53.35853,-6.24134
2021-06-03 07:00:00,North Strand Rd S/B,122,53.35846619,-6.241417032
2021-06-03 08:00:00,Charleville Mall,39,53.35694847,-6.245350215
2021-06-03 08:00:00,Grove Road Totem,290,53.3296435,-6.2701778
2021-06-03 08:00:00,North Strand Rd N/B,44,53.35853,-6.24134
2021-06-03 08:00:00,North Strand Rd S/B,187,53.35846619,-6.241417032
2021-06-03 09:00:00,Charleville Mall,17,53.35694847,-6.245350215
2021-06-03 09:00:00,Grove Road Totem,181,53.3296435,-6.2701778
2021-06-03 09:00:00,North Strand Rd N/B,35,53.35853,-6.24134
2021-06-03 09:00:00,North Strand Rd S/B,109,53.35846619,-6.241417032
2021-06-03 10:00:00,Charleville Mall,11,53.35694847,-6.245350215
2021-06-03 10:00:00,Grove Road Totem,109,53.3296435,-6.2701778
2021-06-03 10:00:00,North Strand Rd N/B,34,53.35853,-6.24134
2021-06-03 10:00:00,North Strand Rd S/B,55,53.35846619,-6.241417032
2021-06-03 11:00:00,Charleville Mall,10,53.35694847,-6.245350215
2021-06-03 11:00:00,Grove Road Totem,110,53.3296435,-6.2701778
2021-06-03 11:00:00,North Strand Rd N/B,43,53.35853,-6.24134
2021-06-03 11:00:00,North Strand Rd S/B,33,53.35846619,-6.241417032
2021-06-03 12:00:00,Charleville Mall,15,53.35694847,-6.245350215
2021-06-03 12:00:00,Grove Road Totem,146,53.3296435,-6.2701778
2021-06-03 12:00:00,North Strand Rd N/B,66,53.35853,-6.24134
2021-06-03 12:00:00,North Strand Rd S/B,51,53.35846619,-6.241417032
2021-06-03 13:00:00,Charleville Mall,21,53.35694847,-6.245350215
2021-06-03 13:00:00,Grove Road Totem,165,53.3296435,-6.2701778
2021-06-03 13:00:00,North Strand Rd N/B,85,53.35853,-6.24134
2021-06-03 13:00:00,North Strand Rd S/B,63,53.35846619,-6.241417032
2021-06-03 14:00:00,Charleville Mall,23,53.35694847,-6.245350215
2021-06-03 14:00:00,Grove Road Totem,145,53.3296435,-6.2701778
2021-06-03 14:00:00,North Strand Rd N/B,96,53.35853,-6.24134
2021-06-03 14:00:00,North Strand Rd S/B,50,53.35846619,-6.241417032
2021-06-03 15:00:00,Charleville Mall,22,53.35694847,-6.245350215
2021-06-03 15:00:00,Grove Road Totem,167,53.3296435,-6.2701778
2021-06-03 15:00:00,North Strand Rd N/B,97,53.35853,-6.24134
2021-06-03 15:00:00,North Strand Rd S/B,60,53.35846619,-6.241417032
2021-06-03 16:00:00,Charleville Mall,29,53.35694847,-6.245350215
2021-06-03 16:00:00,Grove Road Totem,227,53.3296435,-6.2701778
2021-06-03 16:00:00,North Strand Rd N/B,159,53.35853,-6.24134
2021-06-03 16:00:00,North Strand Rd S/B,70,53.35846619,-6.241417032
2021-06-03 17:00:00,Charleville Mall,38,53.35694847,-6.245350215
2021-06-03 17:00:00,Grove Road Totem,338,53.3296435,-6.2701778
2021-06-03 17:00:00,North Strand Rd N/B,219,53.35853,-6.24134
2021-06-03 17:00:00,North Strand Rd S/B,85,53.35846619,-6.241417032
2021-06-03 18:00:00,Charleville Mall,32,53.35694847,-6.245350215
2021-06-03 18:00:00,Grove Road Totem,314,53.3296435,-6.2701778
2021-06-03 18:00:00,North Strand Rd N/B,221,53.35853,-6.24134
2021-06-03 18:00:00,North Strand Rd S/B,86,53.35846619,-6.241417032
2021-06-03 19:00:00,Charleville Mall,36,53.35694847,-6.245350215
2021-06-03 19:00:00,Grove Road Totem,246,53.3296435,-6.2701778
2021-06-03 19:00:00,North Strand Rd N/B,126,53.35853,-6.24134
2021-06-03 19:00:00,North Strand Rd S/B,64,53.35846619,-6.241417032
2021-06-03 20:00:00,Charleville Mall,23,53.35694847,-6.245350215
2021-06-03 20:00:00,Grove Road Totem,194,53.3296435,-6.2701778
2021-06-03 20:00:00,North Strand Rd N/B,87,53.35853,-6.24134
2021-06-03 20:00:00,North Strand Rd S/B,59,53.35846619,-6.241417032
2021-06-03 21:00:00,Charleville Mall,17,53.35694847,-6.245350215
2021-06-03 21:00:00,Grove Road Totem,195,53.3296435,-6.2701778
2021-06-03 21:00:00,North Strand Rd N/B,77,53.35853,-6.24134
2021-06-03 21:00:00,North Strand Rd S/B,75,53.35846619,-6.241417032
2021-06-03 22:00:00,Charleville Mall,8,53.35694847,-6.245350215
2021-06-03 22:00:00,Grove Road Totem,97,53.3296435,-6.2701778
2021-06-03 22:00:00,North Strand Rd N/B,61,53.35853,-6.24134
2021-06-03 22:00:00,North Strand Rd S/B,27,53.35846619,-6.241417032
2021-06-03 23:00:00,Charleville Mall,6,53.35694847,-6.245350215
2021-06-03 23:00:00,Grove Road Totem,45,53.3296435,-6.2701778
2021-06-03 23:00:00,North Strand Rd N/B,24,53.35853,-6.24134
2021-06-03 23:00:00,North Strand Rd S/B,14,53.35846619,-6.241417032
2021-06-04 00:00:00,Charleville Mall,2,53.35694847,-6.245350215
